814	 369	 38	 11	53824	281	25685	4301	2824	15	11	100	46
1087	 409	 47	 9	69936	506	705702	121918	10894	9	4	8786	4198
754	 273	 149	 25	45372	1307	32781	5143	93	13	9	27	16
556	 321	 54	 31	22466	535	473502	101871	1274	22	24	234	132
814	 369	 36	 8	53824	264	10009	1272	1119	11	8	52	12
597	 318	 3	 9	24388	31	2305	84	138	1	8	16	125
675	 271	 21	 8	30733	154	45868	4008	550	12	7	402	179
326	 136	 117	 56	18330	1083	1081020	70897	21546	40	45	1650	1370
670	 345	 55	 17	29807	518	87788	1420	712	16	13	53	44
744	 376	 101	 51	32996	1033	508428	76960	3597	38	40	309	181
1001	 434	 28	 3	55979	310	291200	14870	5144	2	2	1057	1057
322	 116	 77	 53	17310	680	113487	18281	14269	27	47	1569	1654
1032	 440	 60	 6	53446	768	7193	871	42	4	2	28	25
1032	 440	 49	 6	53446	676	35104	4974	14	2	1	2	1
932	 392	 1	 1	58587	51	271	2	2	1	1	1	1
727	 280	 43	 6	42041	488	385119	39663	1728	3	4	895	960
727	 280	 43	 6	42041	488	372438	38771	1732	3	4	864	904
1004	 463	 8	 3	50742	59	70025	11162	5073	2	2	1014	3038
650	 323	 37	 6	29663	432	635758	66758	8090	3	1	6	2
618	 296	 144	 58	26871	1559	1603985	709075	19979	40	28	584	553
515	 251	 4	 2	23630	50	55487	5043	3026	1	1	1008	1008
912	 373	 20	 0	46520	122	13290	2136	0	0	0	0	0
1050	 477	 0	 0	73203	0	0	0	0	0	0	0	0
550	 203	 39	 9	32551	352	540723	87946	7984	7	4	1940	205
733	 292	 5	 2	51753	63	112597	8046	3006	0	0	0	0
966	 440	 23	 4	66529	259	140818	16972	1061	4	2	1865	935
824	 277	 60	 22	31940	416	349127	66962	3294	12	12	81	209
727	 375	 60	 28	35545	787	95370	9767	2603	18	20	994	1272
779	 363	 9	 0	37285	139	201307	18083	0	0	0	0	0
849	 379	 133	 31	37186	1571	252756	17528	4920	18	11	492	340
285	 100	 50	 29	20433	852	92011	7678	6407	18	22	1948	2488
387	 122	 42	 4	19829	371	415669	70175	2809	9	3	5555	1384
496	 196	 74	 17	28667	779	709823	114231	12532	16	9	4699	1755
660	 260	 8	 1	36768	113	224987	4439	153	0	0	0	0
573	 234	 136	 25	30541	1134	679497	108685	9816	23	14	5050	1779
411	 220	 33	 29	23786	418	2722	429	277	11	19	19	34
703	 267	 30	 13	44160	184	10513	1333	752	17	8	340	172
821	 365	 4	 0	31916	23	27011	7270	0	0	0	0	0
867	 417	 5	 4	58766	50	1629	17	8	1	1	1	1
230	 78	 54	 36	14087	524	457207	50902	17378	24	27	1869	1981
892	 409	 10	 4	60999	70	205268	30212	2106	3	3	1199	1501
703	 267	 32	 14	44160	256	118865	16864	9988	17	9	6343	39
897	 406	 185	 47	47422	2125	313171	43665	2040	36	19	601	252
1081	 407	 0	 0	52213	0	0	0	0	0	0	0	0
943	 302	 27	 2	65874	438	361636	18451	268	1	1	116	116
959	 449	 211	 65	69567	2686	56209	14255	893	20	13	197	47
207	 81	 55	 35	13856	472	171989	15625	9706	30	29	1831	1795
949	 330	 0	 0	70053	0	0	0	0	0	0	0	0
919	 433	 8	 1	47741	178	257958	5231	129	0	0	0	0
910	 425	 93	 30	59270	943	515441	87349	13133	17	18	4322	4575
796	 380	 193	 69	33550	2382	317122	51851	15185	57	41	3053	1735
616	 236	 107	 26	37538	1184	74797	22337	2597	24	14	70	1181
727	 280	 43	 6	42041	488	390464	40551	1773	3	4	781	792
650	 233	 6	 2	41324	67	85291	8423	3160	1	1	1052	1052
583	 225	 137	 39	31035	1333	7818	1929	281	15	23	205	200
703	 267	 30	 12	44160	198	988887	86333	70171	17	7	9849	44
38	 20	 16	 11	9597	146	32253	6084	3302	8	7	1611	1579
557	 209	 2	 0	33984	10	10480	2096	0	0	0	0	0
499	 154	 111	 25	24796	1625	592824	182744	10734	21	10	445	315
677	 327	 150	 47	30180	2159	52085	13783	615	36	20	100	84
350	 136	 13	 2	22106	138	281825	12777	1142	2	1	2142	1071
117	 69	 52	 27	11684	510	508298	112905	1758	21	22	491	195
15	 9	 4	 7	8686	35	3323	632	1142	3	3	259	134
625	 301	 7	 1	25295	86	152139	11947	1092	0	0	0	0
591	 307	 37	 22	29671	321	301409	36808	12845	17	20	3942	8519
963	 428	 49	 3	54058	632	2749	236	12	3	2	8	6
664	 211	 26	 2	30072	363	284316	14996	371	1	1	244	244
582	 133	 6	 2	50486	47	107617	15206	2340	2	1	2336	1168
454	 248	 46	 16	22065	579	740262	218775	79217	22	9	14338	193
984	 457	 151	 31	51896	1738	67693	9436	233	25	15	65	37
804	 375	 119	 46	34014	1326	321973	46864	10949	31	26	4850	5501
497	 183	 147	 42	24250	1721	245185	13792	15765	29	27	514	423
655	 245	 20	 1	37951	238	362729	26044	404	2	1	764	384
134	 51	 80	 26	13187	539	1013697	305028	27637	36	22	9884	5465
1031	 456	 8	 2	56752	128	282722	7952	1198	0	0	0	0
1038	 485	 0	 0	57712	0	0	0	0	0	0	0	0
969	 374	 43	 10	72111	420	503675	107376	1771	10	7	253	378
969	 374	 43	 10	72111	419	455996	104801	1461	10	7	187	237
969	 374	 43	 10	72111	411	439009	100260	1497	10	7	228	288
894	 441	 23	 3	59164	281	363966	29502	1908	4	2	1927	478
513	 281	 0	 0	21388	0	0	0	0	0	0	0	0
832	 389	 41	 8	37649	277	409353	86921	8999	7	7	4323	2899
667	 332	 75	 16	27651	413	69921	23718	2990	10	7	278	1020
969	 374	 43	 10	72111	418	470964	107376	1531	10	7	217	277
916	 430	 192	 60	43711	2348	877446	250507	19989	53	35	9395	6318
1017	 355	 7	 1	61827	163	289199	18543	3043	1	1	1014	1014
969	 374	 43	 10	72111	422	439478	101061	1432	9	7	203	282
