134	 757	 2	 1	53824	281	25685	18	17
130	 774	 2	 1	69936	506	705702	1144	1143
64	 731	 5	 8	45372	1307	32781	8	31
61	 563	 12	 10	22466	535	473502	768	1548
134	 757	 2	 1	53824	264	10009	6	5
40	 631	 2	 1	24388	31	2305	18	17
154	 845	 4	 2	30733	154	45868	25	23
62	 533	 14	 25	18330	1083	1081020	56	4422
168	 1069	 35	 26	29807	518	87788	162	779
86	 689	 16	 18	32996	1033	508428	758	1423
153	 991	 4	 1	55979	310	291200	221	218
55	 465	 15	 20	17310	680	113487	962	7145
138	 1210	 7	 3	53446	768	7193	10	5
138	 1210	 3	 1	53446	676	35104	4	2
401	 1164	 0	 0	58587	51	271	0	0
124	 750	 8	 4	42041	488	385119	5971	13261
124	 750	 8	 4	42041	488	372438	5787	13036
133	 853	 0	 0	50742	59	70025	0	0
62	 625	 2	 1	29663	432	635758	982	981
74	 719	 20	 50	26871	1559	1603985	78	56039
84	 611	 2	 1	23630	50	55487	1010	1009
87	 727	 2	 1	46520	122	13290	5	4
259	 1078	 0	 0	73203	0	0	0	0
119	 672	 6	 3	32551	352	540723	2939	1941
96	 765	 3	 2	51753	63	112597	2017	13079
294	 1182	 4	 1	66529	259	140818	929	926
98	 601	 25	 8	31940	416	349127	728	655
78	 667	 13	 8	35545	787	95370	153	159
70	 654	 2	 1	37285	139	201307	898	897
53	 732	 10	 28	37186	1571	252756	25	210
75	 511	 29	 25	20433	852	92011	873	1587
52	 507	 4	 3	19829	371	415669	3186	18329
76	 613	 6	 3	28667	779	709823	3509	17976
134	 852	 2	 1	36768	113	224987	1024	1023
100	 738	 6	 6	30541	1134	679497	3934	19143
84	 520	 4	 2	23786	418	2722	6	4
107	 813	 8	 5	44160	184	10513	12	9
120	 749	 2	 1	31916	23	27011	1040	1039
113	 776	 2	 1	58766	50	1629	3	2
24	 411	 10	 12	14087	524	457207	795	7937
136	 905	 4	 1	60999	70	205268	2305	602
107	 813	 10	 6	44160	256	118865	15	11
91	 815	 27	 30	47422	2125	313171	106	528
90	 740	 0	 0	52213	0	0	0	0
133	 909	 4	 1	65874	438	361636	138	135
139	 848	 31	 59	69567	2686	56209	64	427
25	 398	 10	 13	13856	472	171989	187	4145
91	 934	 0	 0	70053	0	0	0	0
75	 816	 0	 0	47741	178	257958	0	0
96	 858	 9	 8	59270	943	515441	3362	13322
134	 874	 48	 57	33550	2382	317122	1655	20508
132	 765	 16	 19	37538	1184	74797	67	1414
124	 750	 8	 4	42041	488	390464	6017	13536
111	 693	 2	 1	41324	67	85291	1055	1054
48	 664	 7	 22	31035	1333	7818	12	87
107	 813	 10	 6	44160	198	988887	18	14
40	 406	 4	 14	9597	146	32253	82	1661
379	 702	 2	 1	33984	10	10480	1049	1048
53	 503	 28	 27	24796	1625	592824	2003	15437
49	 684	 18	 51	30180	2159	52085	43	989
